donor,recipient,year,aid_amount
Germany,Burundi,2005,39407362
Germany,Burundi,2006,15395259
Germany,Burundi,2007,14891037
Germany,Burundi,2008,22320265
Germany,Burundi,2009,16122774
Germany,Burundi,2010,33481740
Germany,Burundi,2011,18756442
Germany,Burundi,2012,22496630
Germany,Burundi,2013,82985768
Germany,Cambodia,1994,26821393
Germany,Cambodia,1995,28599230
Germany,Cambodia,1996,2311103
Germany,Cambodia,1997,26090115
Germany,Cambodia,1998,8379183
Germany,Cambodia,1999,41495134
Germany,Cambodia,2000,18114023
Germany,Cambodia,2001,47036622
Germany,Cambodia,2002,21797005
Germany,Cambodia,2003,46857638
Germany,Cambodia,2004,15822111
Germany,Cambodia,2005,66721364
Germany,Cambodia,2006,27283459
Germany,Cambodia,2007,36707089
Germany,Cambodia,2008,44248700
Germany,Cambodia,2009,37709413
Germany,Cambodia,2010,31557687
Germany,Cambodia,2011,46442666
Germany,Cambodia,2012,45405332
Germany,Cambodia,2013,33741689
Germany,Cameroon,1990,69576491
Germany,Cameroon,1991,16059554
Germany,Cameroon,1992,8706656
Germany,Cameroon,1993,86524096
Germany,Cameroon,1994,74475274
Germany,Cameroon,1995,13754220
Germany,Cameroon,1996,288671297
Germany,Cameroon,1997,4710701
Germany,Cameroon,1998,420335244
Germany,Cameroon,1999,58565488
Germany,Cameroon,2000,90736615
Germany,Cameroon,2001,74895221
Germany,Cameroon,2002,168820898
Germany,Cameroon,2003,456833270
Germany,Cameroon,2004,281393207
Germany,Cameroon,2005,137816472
Germany,Cameroon,2006,301807991
Germany,Cameroon,2007,779629571
Germany,Cameroon,2008,543288811
Germany,Cameroon,2009,126698518
Germany,Cameroon,2010,68336627
Germany,Cameroon,2011,159510460
Germany,Cameroon,2012,102339755
Germany,Cameroon,2013,69811500
Germany,Cape Verde,1990,3273088
Germany,Cape Verde,1992,5049860
Germany,Cape Verde,1993,2930778
Germany,Cape Verde,1994,16420260
Germany,Cape Verde,1995,6345329
Germany,Cape Verde,1996,2398644
Germany,Cape Verde,1997,6680205
Germany,Cape Verde,1998,2026390
Germany,Cape Verde,1999,28892380
Germany,Cape Verde,2000,833738
Germany,Cape Verde,2001,1576668
Germany,Cape Verde,2002,16722202
Germany,Cape Verde,2003,2893467
Germany,Cape Verde,2004,430190
Germany,Cape Verde,2005,7091947
Germany,Cape Verde,2006,671890
Germany,Cape Verde,2007,466900
Germany,Cape Verde,2008,173418
Germany,Cape Verde,2009,127293
Germany,Cape Verde,2010,205110
Germany,Cape Verde,2011,1404333
Germany,Cape Verde,2012,36156
Germany,Cape Verde,2013,1956772
Germany,Central African Republic,1990,6260949
Germany,Central African Republic,1992,4788661
Germany,Central African Republic,1993,8373650
Germany,Central African Republic,1994,4901570
Germany,Central African Republic,1995,4725962
Germany,Central African Republic,1996,4794104
Germany,Central African Republic,1997,6256909
Germany,Central African Republic,1998,26932107
Germany,Central African Republic,1999,4702817
Germany,Central African Republic,2000,17054327
Germany,Central African Republic,2001,5128786
Germany,Central African Republic,2002,135146
Germany,Central African Republic,2003,1484600
Germany,Central African Republic,2004,532833
Germany,Central African Republic,2005,404803
Germany,Central African Republic,2006,882740
Germany,Central African Republic,2007,2423375
Germany,Central African Republic,2008,2213660
Germany,Central African Republic,2009,4442666
Germany,Central African Republic,2010,2800656
Germany,Central African Republic,2011,5271198
Germany,Central African Republic,2012,3079145
Germany,Central African Republic,2013,4375403
Germany,"Central Asia, Regional Programs, Regional Programs",2005,8188224
Germany,"Central Asia, Regional Programs, Regional Programs",2006,32891342
Germany,"Central Asia, Regional Programs, Regional Programs",2007,28398073
Germany,"Central Asia, Regional Programs, Regional Programs",2008,60139355
Germany,"Central Asia, Regional Programs, Regional Programs",2009,78264307
Germany,"Central Asia, Regional Programs, Regional Programs",2010,84180774
Germany,"Central Asia, Regional Programs, Regional Programs",2011,95203883
Germany,"Central Asia, Regional Programs, Regional Programs",2012,72231131
Germany,"Central Asia, Regional Programs, Regional Programs",2013,93325677
Germany,Chad,1990,16365438
Germany,Chad,1991,90227162
Germany,Chad,1995,7537832
Germany,Chad,1996,13543056
Germany,Chad,1997,6828189
Germany,Chad,1998,2931512
Germany,Chad,1999,14864877
Germany,Chad,2000,24094430
Germany,Chad,2001,13180080
Germany,Chad,2002,26843702
Germany,Chad,2003,27691501
Germany,Chad,2004,35302332
Germany,Chad,2005,24428476
Germany,Chad,2006,34008520
Germany,Chad,2007,22209334
Germany,Chad,2008,14484146
Germany,Chad,2009,26276566
Germany,Chad,2010,14966334
Germany,Chad,2011,13283378
Germany,Chad,2012,13869639
Germany,Chad,2013,15896701
Germany,Chile,1990,1926446
Germany,Chile,1991,49555194
Germany,Chile,1993,34248232
Germany,Chile,1994,12253925
Germany,Chile,1995,6407
Germany,Chile,1997,40697486
Germany,Chile,1998,1020644
Germany,Chile,1999,41265583
Germany,Chile,2000,20310252
Germany,Chile,2001,64762610
Germany,Chile,2002,68648801
Germany,Chile,2003,25436373
Germany,Chile,2004,39206787
Germany,Chile,2005,27021405
Germany,Chile,2006,12938936
Germany,Chile,2007,70246283
Germany,Chile,2008,232746851
Germany,Chile,2009,78872675
Germany,Chile,2010,24480758
Germany,Chile,2011,27061224
Germany,Chile,2012,27634105
Germany,Chile,2013,211875978
Germany,China,1990,170200555
Germany,China,1991,66073593
Germany,China,1992,205041750
Germany,China,1993,431410484
Germany,China,1994,1155037036
Germany,China,1995,189831295
Germany,China,1996,1219914134
Germany,China,1997,362183710
Germany,China,1998,61975150
Germany,China,1999,681588705
Germany,China,2000,194302992
Germany,China,2001,406747753
Germany,China,2002,329187536
Germany,China,2003,571108529
Germany,China,2004,555871284
Germany,China,2005,230785742
Germany,China,2006,701223733
Germany,China,2007,1108419586
Germany,China,2008,1075969305
Germany,China,2009,1161668764
Germany,China,2010,938334602
Germany,China,2011,633697834
Germany,China,2012,1103612053
Germany,China,2013,800890626
Germany,Colombia,1992,43533280
Germany,Colombia,1993,19259397
Germany,Colombia,1994,39212561
Germany,Colombia,1995,8067210
Germany,Colombia,1996,17508
Germany,Colombia,1997,928544
Germany,Colombia,1998,943224
Germany,Colombia,1999,32645854
Germany,Colombia,2000,29636849
Germany,Colombia,2001,43471725
Germany,Colombia,2002,29101059
Germany,Colombia,2003,33799111
Germany,Colombia,2004,23273322
Germany,Colombia,2005,29095567
Germany,Colombia,2006,24175787
Germany,Colombia,2007,72350715
Germany,Colombia,2008,47956995
Germany,Colombia,2009,55947545
Germany,Colombia,2010,46485552
Germany,Colombia,2011,62563708
Germany,Colombia,2012,58496488
Germany,Colombia,2013,91101460
Germany,Comoros,1992,1741331
Germany,Comoros,1998,7891
Germany,Comoros,1999,604709
Germany,Comoros,2000,56932
Germany,Comoros,2001,47126
Germany,Comoros,2002,8043
Germany,Comoros,2003,57966
Germany,Comoros,2005,31276
Germany,Comoros,2006,18744
Germany,Comoros,2007,41780
Germany,Comoros,2008,11087
Germany,Comoros,2010,1483
Germany,Comoros,2011,18337
Germany,Comoros,2012,5243
Germany,Comoros,2013,14621
Germany,"Congo, Democratic Republic of",1990,311567080
Germany,"Congo, Democratic Republic of",1991,505767658
Germany,"Congo, Democratic Republic of",1995,27158457
Germany,"Congo, Democratic Republic of",1996,23328284
Germany,"Congo, Democratic Republic of",1997,7837196
Germany,"Congo, Democratic Republic of",1998,7081233
Germany,"Congo, Democratic Republic of",1999,6145179
Germany,"Congo, Democratic Republic of",2000,23830435
Germany,"Congo, Democratic Republic of",2001,35496985
Germany,"Congo, Democratic Republic of",2002,27732301
Germany,"Congo, Democratic Republic of",2003,726343106
Germany,"Congo, Democratic Republic of",2004,91156838
Germany,"Congo, Democratic Republic of",2005,84190711
Germany,"Congo, Democratic Republic of",2006,107231053
Germany,"Congo, Democratic Republic of",2007,74215959
Germany,"Congo, Democratic Republic of",2008,138953550
Germany,"Congo, Democratic Republic of",2009,97700977
Germany,"Congo, Democratic Republic of",2010,37604272
Germany,"Congo, Democratic Republic of",2011,69823924
Germany,"Congo, Democratic Republic of",2012,700484093
Germany,"Congo, Democratic Republic of",2013,141170106
Germany,"Congo, Republic of",1990,26184701
Germany,"Congo, Republic of",1991,9101637
Germany,"Congo, Republic of",1995,69590393
Germany,"Congo, Republic of",1996,55334342
Germany,"Congo, Republic of",1997,21388294
Germany,"Congo, Republic of",1998,1626283
Germany,"Congo, Republic of",1999,7288209
Germany,"Congo, Republic of",2000,2594269
Germany,"Congo, Republic of",2001,1575502
Germany,"Congo, Republic of",2002,3543325
Germany,"Congo, Republic of",2003,1916874
Germany,"Congo, Republic of",2004,1195977
Germany,"Congo, Republic of",2005,84380786
Germany,"Congo, Republic of",2006,8172868
Germany,"Congo, Republic of",2007,11545300
Germany,"Congo, Republic of",2008,1229781
Germany,"Congo, Republic of",2009,39006127
Germany,"Congo, Republic of",2010,9222494
Germany,"Congo, Republic of",2011,99516575
Germany,"Congo, Republic of",2012,9942928
Germany,"Congo, Republic of",2013,511964
Germany,Cook Islands,1999,201129
Germany,Cook Islands,2000,100551
Germany,Cook Islands,2001,67369
Germany,Cook Islands,2002,21166
Germany,Cook Islands,2003,22433
Germany,Cook Islands,2013,16093
Germany,Costa Rica,1990,43038297
Germany,Costa Rica,1991,14683020
Germany,Costa Rica,1992,17277488
Germany,Costa Rica,1994,12234319
Germany,Costa Rica,1996,63667
Germany,Costa Rica,1997,389040
Germany,Costa Rica,1999,7712784
Germany,Costa Rica,2000,26482150
Germany,Costa Rica,2001,6289475
Germany,Costa Rica,2002,39004685
Germany,Costa Rica,2003,17955814
Germany,Costa Rica,2004,10327114
Germany,Costa Rica,2005,42067580
Germany,Costa Rica,2006,10179849
Germany,Costa Rica,2007,15618410
Germany,Costa Rica,2008,38410605
Germany,Costa Rica,2009,5997043
Germany,Costa Rica,2010,25510392
Germany,Costa Rica,2011,49361356
Germany,Costa Rica,2012,6506022
Germany,Costa Rica,2013,6706046
Germany,Cote d`Ivoire,1990,73239543
Germany,Cote d`Ivoire,1991,29261425
Germany,Cote d`Ivoire,1992,46493543
Germany,Cote d`Ivoire,1993,37447803
Germany,Cote d`Ivoire,1994,73839704
Germany,Cote d`Ivoire,1995,110628805
Germany,Cote d`Ivoire,1996,16610460
Germany,Cote d`Ivoire,1997,2536688
Germany,Cote d`Ivoire,1998,131942145
Germany,Cote d`Ivoire,1999,44082826
Germany,Cote d`Ivoire,2000,22853357
Germany,Cote d`Ivoire,2001,16743278
Germany,Cote d`Ivoire,2002,70729830
Germany,Cote d`Ivoire,2003,50595157
Germany,Cote d`Ivoire,2004,14283033
Germany,Cote d`Ivoire,2005,6119419
Germany,Cote d`Ivoire,2006,21017172
Germany,Cote d`Ivoire,2007,8386392
Germany,Cote d`Ivoire,2008,9032883
Germany,Cote d`Ivoire,2009,20805235
Germany,Cote d`Ivoire,2010,98247034
Germany,Cote d`Ivoire,2011,18927842
Germany,Cote d`Ivoire,2012,6881695
Germany,Cote d`Ivoire,2013,122112834
Germany,Croatia,1992,8706656
Germany,Croatia,1995,2831893
Germany,Croatia,1996,213017718
Germany,Croatia,1997,697652
Germany,Croatia,1998,327466
Germany,Croatia,1999,12097468
Germany,Croatia,2000,24893674
Germany,Croatia,2001,14664531
Germany,Croatia,2002,14812648
Germany,Croatia,2003,75600336
Germany,Croatia,2004,19029808
Germany,Croatia,2005,10732111
Germany,Croatia,2006,15568829
Germany,Croatia,2007,256653200
Germany,Croatia,2008,110063887
Germany,Croatia,2009,18905161
Germany,Croatia,2010,15659394
Germany,Cuba,1995,174591
Germany,Cuba,1996,794242
Germany,Cuba,1997,565106
Germany,Cuba,1998,384279
Germany,Cuba,1999,6718713
Germany,Cuba,2000,44757580
Germany,Cuba,2001,3787812
Germany,Cuba,2002,6714412
Germany,Cuba,2003,6113327
Germany,Cuba,2004,3359713
Germany,Cuba,2005,2965943
Germany,Cuba,2006,4268482
Germany,Cuba,2007,3489376
Germany,Cuba,2008,2306411
Germany,Cuba,2009,3177462
Germany,Cuba,2010,2208268
Germany,Cuba,2011,2470194
Germany,Cuba,2012,2753856
Germany,Cuba,2013,2484369
Germany,Cyprus,2001,2623872
Germany,Cyprus,2002,2735743
Germany,Cyprus,2003,3700051
Germany,Cyprus,2004,3749614
Germany,Czech Republic,2001,14938117
Germany,Czech Republic,2002,27324643
Germany,Czech Republic,2003,24005980
Germany,Czech Republic,2004,21991717
Germany,Djibouti,1991,3670755
Germany,Djibouti,1997,777814
Germany,Djibouti,1998,15781
Germany,Djibouti,1999,115075
Germany,Djibouti,2000,123857
Germany,Djibouti,2001,99283
Germany,Djibouti,2002,50542
Germany,Djibouti,2003,763019
Germany,Djibouti,2004,319336
Germany,Djibouti,2005,363969
Germany,Djibouti,2006,165955
Germany,Djibouti,2007,298446
Germany,Djibouti,2008,202707
Germany,Djibouti,2009,1133166
Germany,Djibouti,2010,247951
Germany,Djibouti,2011,9711100
Germany,Djibouti,2012,2064462
Germany,Djibouti,2013,514735
Germany,Dominica,1999,23258
Germany,Dominica,2000,129190
Germany,Dominica,2001,74010
Germany,Dominica,2002,85224
Germany,Dominica,2003,38510
Germany,Dominica,2005,9219
Germany,Dominica,2008,7695
Germany,Dominica,2009,7907
Germany,Dominica,2010,27579
Germany,Dominica,2011,38786
Germany,Dominica,2013,5463
Germany,Dominican Republic,1990,1870336
Germany,Dominican Republic,1992,35629812
Germany,Dominican Republic,1993,21838481
Germany,Dominican Republic,1994,2259763
Germany,Dominican Republic,1996,11937510
Germany,Dominican Republic,1997,21004321
Germany,Dominican Republic,1998,9278069
Germany,Dominican Republic,1999,14782215
Germany,Dominican Republic,2000,41013023
Germany,Dominican Republic,2001,17554474
Germany,Dominican Republic,2002,21940572
Germany,Dominican Republic,2003,10026127
Germany,Dominican Republic,2004,17400998
Germany,Dominican Republic,2005,10627304
Germany,Dominican Republic,2006,4268833
Germany,Dominican Republic,2007,13427574
Germany,Dominican Republic,2008,3120769
Germany,Dominican Republic,2009,12254374
Germany,Dominican Republic,2010,1560845
Germany,Dominican Republic,2011,2106950
Germany,Dominican Republic,2012,1732080
Germany,Dominican Republic,2013,1565405
Germany,Ecuador,1990,19402863
Germany,Ecuador,1992,44545865
Germany,Ecuador,1994,1633857
Germany,Ecuador,1995,36289228
Germany,Ecuador,1996,4863341
Germany,Ecuador,1997,17066127
Germany,Ecuador,1998,14349068
Germany,Ecuador,1999,10250392
Germany,Ecuador,2000,22871741
Germany,Ecuador,2001,35783962
Germany,Ecuador,2002,41538365
Germany,Ecuador,2003,34129525
Germany,Ecuador,2004,70698869
Germany,Ecuador,2005,12874161
Germany,Ecuador,2006,24915415
Germany,Ecuador,2007,23380048
Germany,Ecuador,2008,52897899
Germany,Ecuador,2009,76448550
Germany,Ecuador,2010,43032965
Germany,Ecuador,2011,30262026
Germany,Ecuador,2012,16963193
Germany,Ecuador,2013,60048333
Germany,Egypt,1990,607578578
Germany,Egypt,1991,288613124
Germany,Egypt,1992,2467651765
Germany,Egypt,1993,134397093
Germany,Egypt,1994,422902572
Germany,Egypt,1995,231881217
Germany,Egypt,1996,488577345
Germany,Egypt,1997,438232635
Germany,Egypt,1998,328320536
Germany,Egypt,1999,120535796
Germany,Egypt,2000,121254593
Germany,Egypt,2001,192280693
Germany,Egypt,2002,84048255
Germany,Egypt,2003,176106339
Germany,Egypt,2004,90695903
Germany,Egypt,2005,228274937
Germany,Egypt,2006,294752914
Germany,Egypt,2007,117921744
Germany,Egypt,2008,169530919
Germany,Egypt,2009,176700487
Germany,Egypt,2010,482328345
Germany,Egypt,2011,156499739
Germany,Egypt,2012,139941129
Germany,Egypt,2013,155279144
Germany,El Salvador,1991,1560071
Germany,El Salvador,1993,40528469
Germany,El Salvador,1994,9394676
Germany,El Salvador,1995,57662968
Germany,El Salvador,1996,22681271
Germany,El Salvador,1997,18001801
Germany,El Salvador,1998,13144980
Germany,El Salvador,1999,41324220
Germany,El Salvador,2000,4153700
Germany,El Salvador,2001,52636714
Germany,El Salvador,2002,19457613
Germany,El Salvador,2003,17942385
Germany,El Salvador,2004,12602922
Germany,El Salvador,2005,25303284
Germany,El Salvador,2006,26416182
Germany,El Salvador,2007,39649658
Germany,El Salvador,2008,34969756
Germany,El Salvador,2009,48614853
Germany,El Salvador,2010,12327368
Germany,El Salvador,2011,7573706
Germany,El Salvador,2012,29297913
Germany,El Salvador,2013,49528996
Germany,Equatorial Guinea,1995,28031
Germany,Equatorial Guinea,1999,93389
Germany,Equatorial Guinea,2000,26400
Germany,Equatorial Guinea,2001,46
Germany,Equatorial Guinea,2002,102807
Germany,Equatorial Guinea,2006,152
Germany,Equatorial Guinea,2007,721
Germany,Equatorial Guinea,2008,20594
Germany,Equatorial Guinea,2009,40959
Germany,Equatorial Guinea,2010,53633
Germany,Equatorial Guinea,2011,80292
Germany,Equatorial Guinea,2012,16741
Germany,Equatorial Guinea,2013,56696
Germany,Eritrea,1992,6094659
Germany,Eritrea,1994,15358254
Germany,Eritrea,1995,6583189
Germany,Eritrea,1996,7646373
Germany,Eritrea,1997,3835372
Germany,Eritrea,1998,18324973
Germany,Eritrea,1999,3047872
Germany,Eritrea,2000,6279749
Germany,Eritrea,2001,5826032
Germany,Eritrea,2002,7214037
Germany,Eritrea,2003,24497946
Germany,Eritrea,2004,2786190
Germany,Eritrea,2005,1139918
Germany,Eritrea,2006,2005711
Germany,Eritrea,2007,3228542
Germany,Eritrea,2008,1502144
Germany,Eritrea,2009,1386390
Germany,Eritrea,2010,1107756
Germany,Eritrea,2011,835949
Germany,Eritrea,2012,959985
Germany,Eritrea,2013,784783
Germany,Estonia,2001,4058486
Germany,Estonia,2002,3820586
Germany,Estonia,2003,4941566
Germany,Estonia,2004,5304359
Germany,Ethiopia,1991,6423822
Germany,Ethiopia,1992,115047141
Germany,Ethiopia,1993,10048381
Germany,Ethiopia,1994,89278833
Germany,Ethiopia,1995,58561549
Germany,Ethiopia,1996,65290391
Germany,Ethiopia,1997,89450182
Germany,Ethiopia,1998,81420968
Germany,Ethiopia,1999,27467910
Germany,Ethiopia,2000,51432050
Germany,Ethiopia,2001,105808442
Germany,Ethiopia,2002,105653423
Germany,Ethiopia,2003,89063184
Germany,Ethiopia,2004,143365488
Germany,Ethiopia,2005,90385724
Germany,Ethiopia,2006,35761902
Germany,Ethiopia,2007,44088519
Germany,Ethiopia,2008,103575453
